version,condition_code,component,evidence_strength,evidence_type,recommendation_role,requires_lab,risk_level,source_quality,missing_data_penalty,source_ids,rationale
2026-06-18.2,DEFICIT_VIT_D,Magnesio,contextual,cofactor_context,supportive,optional,low_moderate,official_fact_sheet,0.20,nih_ods_magnesium_consumer,Magnesio se usa como cofactor contextual; no debe desplazar vitamina D directa.
2026-06-18.2,DEFICIT_VIT_D,Vitamina K,contextual,bone_context,supportive,optional,moderate,official_fact_sheet,0.25,nih_ods_vitamin_k_hp,Vitamina K participa en proteínas óseas; contextual y sensible a anticoagulantes.
2026-06-18.2,DEFICIT_B12,Ácido fólico,contextual,b_vitamin_context,supportive_with_lab,preferred,moderate,official_fact_sheet,0.25,nih_ods_folate_hp|nih_ods_vitamin_b12_hp,Folato y B12 pueden compartir señales hematológicas; folato no debe ocultar déficit de B12.
2026-06-18.2,DEFICIT_B12,Vitamina B6,contextual,b_vitamin_context,supportive,optional,low_moderate,official_fact_sheet,0.25,nih_ods_b6_hp,B6 se mantiene solo como contexto de complejo B cuando la señal principal es B12.
2026-06-18.2,DEFICIT_HIERRO,Ácido fólico,contextual,anemia_context,supportive_with_lab,preferred,moderate,official_fact_sheet,0.30,nih_ods_folate_hp|nih_ods_iron_hp,"Si hay señales de anemia, folato es contexto diferencial; no reemplaza ferritina/hemograma."
2026-06-18.2,DEFICIT_FOLATO,Ácido fólico,high,deficiency_replacement,primary_with_lab,preferred,moderate,official_fact_sheet,0.15,nih_ods_folate_hp,Componente directo para baja ingesta o baja señal de folato; requiere cautela con B12.
2026-06-18.2,DEFICIT_CALCIO,Vitamina D,moderate,bone_mineral_support,supportive_with_lab,preferred,low_moderate,official_fact_sheet,0.20,nih_ods_vitamin_d_hp|nih_ods_calcium_hp,Vitamina D ayuda a interpretar salud ósea junto con calcio.
2026-06-18.2,DEFICIT_MAGNESIO,Vitamina B6,contextual,cofactor_context,supportive,optional,low_moderate,official_fact_sheet,0.25,nih_ods_b6_hp|nih_ods_magnesium_consumer,B6 se usa como cofactor contextual; la prioridad continúa siendo magnesio si la señal es fuerte.
2026-06-18.2,DEFICIT_ZINC,Cobre,contextual,mineral_balance_context,supportive_with_lab,optional,moderate,official_fact_sheet,0.25,nih_ods_zinc_hp|nih_ods_copper_hp,Zinc alto puede afectar cobre; se muestra como contexto de balance mineral.
2026-06-18.2,BAJA_INMUNIDAD,Vitamina D,moderate,immune_context,supportive_with_lab,preferred,low_moderate,official_fact_sheet,0.20,nih_ods_immune_function|nih_ods_vitamin_d_hp,Señal inmune se apoya con vitamina D si hay evidencia de baja ingesta/lab; no promete prevención.
2026-06-18.2,BAJA_INMUNIDAD,Probióticos,contextual,gut_immune_context,supportive,no,low_moderate,official_fact_sheet,0.30,nih_ods_probiotics_hp|nih_ods_immune_function,Probióticos se muestran como apoyo contextual; cepa y uso importan y no se generaliza efecto.
2026-06-18.2,RIESGO_SALUD_OSEA,Magnesio,contextual,bone_context,supportive,optional,low_moderate,official_fact_sheet,0.25,nih_ods_magnesium_consumer,Magnesio se usa como apoyo mineral contextual en salud ósea.
2026-06-18.2,RIESGO_VITAMINA_C_BAJA,Vitamina C,high,deficiency_replacement,primary,optional,low_moderate,official_fact_sheet,0.05,nih_ods_vitamin_c_hp,Componente directo cuando la dieta/lab sugiere vitamina C baja.
2026-06-18.2,RIESGO_VITAMINA_C_BAJA,Zinc,contextual,immune_context,supportive,optional,moderate,official_fact_sheet,0.30,nih_ods_zinc_hp|nih_ods_immune_function,"Zinc puede acompañar señales inmunes, pero no reemplaza vitamina C como componente directo."
2026-06-18.2,RIESGO_OMEGA3_BAJO,EPA,moderate,omega3_subcomponent,supportive,optional,low_moderate,official_fact_sheet,0.10,nih_ods_omega3_hp,EPA se muestra como subcomponente trazable de omega 3 cuando el catálogo lo separa.
2026-06-18.2,RIESGO_OMEGA3_BAJO,DHA,moderate,omega3_subcomponent,supportive,optional,low_moderate,official_fact_sheet,0.10,nih_ods_omega3_hp,DHA se muestra como subcomponente trazable de omega 3 cuando el catálogo lo separa.
2026-06-18.2,RIESGO_PROTEINA_INSUFICIENTE,Proteína,high,dietary_gap_support,primary,no,low_moderate,official_health_resource,0.10,nih_medlineplus_supplements,Componente directo si la encuesta estima baja proteína; se mantiene como apoyo nutricional no médico.
2026-06-18.2,RIESGO_METABOLICO_GLUCOSA,Cromo,contextual,metabolic_context,supportive_with_lab,required,moderate_high,official_fact_sheet,0.45,nih_ods_chromium_hp|medlineplus_glucose_test,Cromo solo como contexto cuando glucosa/HbA1c sugieren riesgo; no trata diabetes.
2026-06-18.2,RIESGO_METABOLICO_GLUCOSA,Magnesio,contextual,metabolic_context,supportive_with_lab,preferred,moderate,official_fact_sheet,0.35,nih_ods_magnesium_consumer|medlineplus_glucose_test,Magnesio puede ser contexto metabólico; se penaliza si no hay dato objetivo.
2026-06-18.2,RIESGO_DISLIPIDEMIA,Omega 3,moderate,lipid_context,supportive_with_lab,required,moderate,official_fact_sheet,0.40,nih_ods_omega3_hp|medlineplus_cholesterol_tests,Omega 3 se considera solo en contexto de lípidos medidos; no reemplaza manejo médico.
2026-06-18.2,RIESGO_DISLIPIDEMIA,Coenzima Q10,contextual,cardiometabolic_context,supportive_with_lab,required,moderate,official_health_resource,0.45,nccih_coq10|medlineplus_cholesterol_tests,"CoQ10 se muestra como contexto, especialmente si hay interés cardiovascular; requiere cautela con anticoagulantes."
2026-06-18.2,ESTRES_SUENO,Valeriana,contextual,sleep_context,supportive,no,moderate,official_health_resource,0.20,nccih_valerian,Valeriana se muestra como opción contextual de sueño; puede causar sedación e interacciones.
2026-06-18.2,ESTRES_SUENO,L-teanina,contextual,stress_context,supportive,no,low_moderate,official_health_resource,0.25,nih_medlineplus_supplements,"L-teanina queda como señal contextual blanda, sin afirmación clínica fuerte."
2026-06-18.2,ESTRES_SUENO,Ashwagandha,contextual,stress_context,supportive,no,moderate_high,official_health_resource,0.25,nccih_ashwagandha,"Ashwagandha es contextual para estrés; sensible a embarazo, hígado, tiroides y sedantes."
2026-06-18.2,RENDIMIENTO_DEPORTIVO,Carnitina,contextual,performance_context,supportive,no,low_moderate,official_health_resource,0.30,nih_medlineplus_supplements,"Carnitina se mantiene como apoyo contextual, no como promesa de rendimiento."
2026-06-18.2,RENDIMIENTO_DEPORTIVO,Cafeína,contextual,performance_context,supportive,no,moderate,official_health_resource,0.25,nih_medlineplus_supplements,"Cafeína puede aparecer como contexto de rendimiento, con cautela por sueño, ansiedad y presión."
2026-06-18.2,RIESGO_CABELLO_PIEL_UNAS,Colágeno,contextual,skin_structure_context,supportive,no,low_moderate,official_health_resource,0.30,nih_medlineplus_supplements,"Colágeno se considera señal estética/nutricional contextual, no tratamiento dermatológico."
2026-06-18.2,RIESGO_CABELLO_PIEL_UNAS,Vitamina A,contextual,skin_context,supportive_with_lab,optional,moderate_high,official_fact_sheet,0.35,nih_ods_vitamin_a_hp,"Vitamina A participa en piel, pero exceso es relevante; solo se usa como contexto cauteloso."
2026-06-18.2,RIESGO_CABELLO_PIEL_UNAS,Cobre,contextual,mineral_context,supportive_with_lab,optional,moderate,official_fact_sheet,0.35,nih_ods_copper_hp,Cobre se muestra como contexto mineral; no debe recomendarse agresivamente sin datos.
2026-06-18.2,SAFETY_TIROIDEA,Selenio,contextual,thyroid_safety_context,safety_context,required,moderate_high,official_fact_sheet,0.50,nih_ods_selenium_hp|medlineplus_thyroid_tests,Selenio se muestra solo como contexto tiroideo; no debe activar producto comercial por sí mismo.
2026-06-18.2,SAFETY_RENAL,Potasio,contextual,renal_safety_context,safety_context,required,high,official_fact_sheet,0.60,nih_ods_potassium_hp|medlineplus_creatinine_test,Potasio suplementario requiere cautela renal; no debe comercializarse desde la app.
2026-06-18.2,SAFETY_RENAL,Magnesio,contextual,renal_safety_context,safety_context,required,high,official_fact_sheet,0.60,nih_ods_magnesium_consumer|medlineplus_creatinine_test,Magnesio suplementario puede ser sensible en enfermedad renal; mostrar solo como alerta.
2026-06-18.2,SAFETY_HEPATICA,Vitamina A,contextual,hepatic_safety_context,safety_context,required,high,official_fact_sheet,0.60,nih_ods_vitamin_a_hp|medlineplus_liver_tests,Vitamina A en exceso puede ser riesgosa; con bandera hepática se muestra solo como cautela.
2026-06-18.2,SAFETY_HEPATICA,Niacina,contextual,hepatic_safety_context,safety_context,required,high,official_fact_sheet,0.60,nih_ods_niacin_hp|medlineplus_liver_tests,"Niacina tiene cautelas hepáticas relevantes; se usa como alerta, no como recomendación comercial."
2026-06-18.2,SAFETY_HEPATICA,Té verde,contextual,hepatic_safety_context,safety_context,required,high,official_health_resource,0.60,nih_medlineplus_supplements|medlineplus_liver_tests,Extractos herbales concentrados requieren cautela hepática; se muestra como clase de alerta.
2026-06-18.3,RENDIMIENTO_DEPORTIVO,Creatina,moderate,performance_context,supportive,no,moderate,official_fact_sheet,0.20,nih_ods_exercise_performance_hp,"Creatina se considera apoyo contextual de rendimiento en adultos; no se recomienda si hay bandera renal, embarazo/lactancia o menor de edad."
2026-06-19.1,DEFICIT_HIERRO,Vitamina C,contextual,absorption_support,supportive,optional,low_moderate,official_fact_sheet,0.42,nih_ods_vitamin_c_hp|nih_ods_iron_hp,Vitamina C se usa como soporte de absorción de hierro no hemo; no reemplaza hierro cuando el déficit está sustentado.
2026-06-19.1,DEFICIT_HIERRO,Vitamina B12,contextual,anemia_differential_context,supportive_with_lab,preferred,low,official_fact_sheet,0.35,nih_ods_vitamin_b12_hp|nih_ods_iron_hp,B12 aparece como contexto de anemia/nutrición cuando hay señales mixtas; no desplaza el componente hierro.
2026-06-19.1,DEFICIT_FOLATO,Vitamina B12,moderate,folate_b12_safety_context,supportive_with_lab,preferred,low_moderate,official_fact_sheet,0.20,nih_ods_folate_hp|nih_ods_vitamin_b12_hp,B12 acompaña a folato para evitar interpretar folato aislado sin revisar posible déficit de B12.
2026-06-19.1,DEFICIT_B12,Acido folico,contextual,folate_b12_safety_context,supportive_with_lab,preferred,moderate,official_fact_sheet,0.45,nih_ods_folate_hp|nih_ods_vitamin_b12_hp,Folato se muestra solo como contexto si hay B12 probable; ácido fólico aislado puede ocultar señales hematológicas de B12 baja.
2026-06-19.1,DEFICIT_ZINC,Vitamina C,contextual,immune_context,supportive,optional,low_moderate,official_fact_sheet,0.30,nih_ods_zinc_hp|nih_ods_vitamin_c_hp,"Vitamina C puede acompañar señales inmunes/dietarias, pero zinc sigue siendo el componente directo."
2026-06-19.1,RIESGO_SALUD_OSEA,Vitamina K,moderate,bone_context,supportive,optional,moderate_high,official_fact_sheet,0.25,nih_ods_vitamin_k_hp|nih_ods_calcium_hp,Vitamina K se considera soporte contextual de salud ósea; se bloquea o advierte con anticoagulantes.
2026-06-19.1,RIESGO_SALUD_OSEA,Vitamina C,contextual,collagen_bone_matrix_context,supportive,optional,low_moderate,official_fact_sheet,0.35,nih_ods_vitamin_c_hp|nih_ods_calcium_hp,Vitamina C participa en síntesis de colágeno; se deja como señal secundaria en salud ósea.
2026-06-19.1,RIESGO_OMEGA3_BAJO,Vitamina E,contextual,lipid_antioxidant_context,supportive,optional,moderate_high,official_fact_sheet,0.42,nih_ods_vitamin_e_hp|nih_ods_omega3_hp,"Vitamina E puede aparecer como contexto en productos lipídicos, con cautela por interacciones y exceso."
2026-06-19.1,RIESGO_PROTEINA_INSUFICIENTE,Creatina,contextual,performance_context,supportive,no,moderate,official_fact_sheet,0.40,nih_ods_exercise_performance_hp,Creatina se conserva como contexto de rendimiento; no reemplaza proteína insuficiente ni se comercializa si hay riesgo renal.
2026-06-19.1,BAJA_INMUNIDAD,Selenio,contextual,immune_context,supportive,no,moderate,official_fact_sheet,0.25,nih_ods_selenium_hp,Selenio participa en función inmune; se muestra como prioridad de bienestar no comercial directa.
2026-06-19.1,BAJA_INMUNIDAD,Vitamina C,contextual,immune_context,supportive,no,low_moderate,official_fact_sheet,0.20,nih_ods_vitamin_c_hp,Vitamina C se muestra como contexto inmune blando y debe priorizar dieta.
2026-06-19.1,BAJA_INMUNIDAD,Vitamina D,contextual,immune_context,supportive,preferred,low_moderate,official_fact_sheet,0.25,nih_ods_vitamin_d_hp,"Vitamina D puede acompañar señales inmunes, pero se prefiere confirmación o contexto de déficit."
2026-06-19.1,BAJA_INMUNIDAD,Probióticos,contextual,immune_gut_context,supportive,no,moderate,official_fact_sheet,0.35,nih_ods_probiotics_hp,Probióticos son cepa-específicos; se muestran solo como contexto educativo.
2026-06-19.1,ESTRES_SUENO,Vitamina B6,contextual,nervous_system_context,supportive,no,low_moderate,official_fact_sheet,0.32,nih_ods_b6_hp,B6 participa en función nerviosa; no convierte por sí sola una señal de sueño/estrés en compra.
2026-06-19.1,RENDIMIENTO_DEPORTIVO,Vitamina B6,contextual,energy_metabolism_context,supportive,no,low_moderate,official_fact_sheet,0.35,nih_ods_b6_hp|nih_ods_exercise_performance_hp,"B6 se deja como contexto de metabolismo energético, no como promesa de rendimiento."
2026-06-19.1,RENDIMIENTO_DEPORTIVO,Magnesio,contextual,performance_electrolyte_context,supportive,no,moderate,official_fact_sheet,0.30,nih_ods_magnesium_consumer|nih_ods_exercise_performance_hp,"Magnesio puede ser relevante en contexto muscular, con cautela renal."
2026-06-19.1,RIESGO_CABELLO_PIEL_UNAS,Vitamina C,contextual,collagen_skin_context,supportive,no,low_moderate,official_fact_sheet,0.30,nih_ods_vitamin_c_hp,Vitamina C participa en formación de colágeno; se usa como contexto estético/nutricional blando.
2026-06-19.1,RIESGO_CABELLO_PIEL_UNAS,Hierro,contextual,mineral_deficiency_context,supportive_with_lab,preferred,moderate,official_fact_sheet,0.40,nih_ods_iron_hp,Hierro aparece solo como contexto si hay señales compatibles; no recomendar sin datos suficientes.
2026-06-19.1,SAFETY_RENAL,Creatina,contextual,renal_safety_context,safety_context,required,high,official_fact_sheet,0.65,nih_ods_exercise_performance_hp|medlineplus_creatinine_test,Creatina suplementaria se bloquea como producto comercial si hay señal renal.
2026-06-19.1,SAFETY_RENAL,Calcio,contextual,renal_safety_context,safety_context,required,high,official_fact_sheet,0.60,nih_ods_calcium_hp|medlineplus_creatinine_test,Calcio suplementario requiere cautela renal y revisión de cálculos/hipercalcemia.
2026-06-19.1,SAFETY_HEPATICA,Ashwagandha,contextual,hepatic_safety_context,safety_context,required,high,official_health_resource,0.65,nccih_ashwagandha|medlineplus_liver_tests,"Ashwagandha queda como alerta de seguridad hepática, no como producto comercial."
2026-06-19.1,SAFETY_TIROIDEA,Yodo,contextual,thyroid_safety_context,safety_context,required,high,official_fact_sheet,0.60,nih_ods_iodine_hp|medlineplus_thyroid_tests,Yodo se muestra solo como alerta/contexto tiroideo; no se comercializa desde una bandera de seguridad.
2026-06-19.1,SAFETY_TIROIDEA,Ashwagandha,contextual,thyroid_safety_context,safety_context,required,moderate_high,official_health_resource,0.60,nccih_ashwagandha|medlineplus_thyroid_tests,Ashwagandha puede ser sensible en perfiles tiroideos y se mantiene como alerta.
2026-06-24.1,DEFICIT_HIERRO,Riboflavina,contextual,anemia_b_vitamin_context,supportive_with_lab,preferred,low_moderate,official_fact_sheet,0.42,nih_ods_riboflavin_hp|nih_ods_iron_hp,Riboflavina se usa como contexto de complejo B/anemia nutricional; no desplaza hierro ni laboratorio.
2026-06-24.1,DEFICIT_B12,Riboflavina,contextual,b_vitamin_context,supportive,optional,low_moderate,official_fact_sheet,0.35,nih_ods_riboflavin_hp|nih_ods_vitamin_b12_hp,Riboflavina acompaña el contexto de complejo B cuando hay patrón dietario compatible; no es marcador directo de B12.
2026-06-24.1,RENDIMIENTO_DEPORTIVO,Tiamina,contextual,energy_metabolism_context,supportive,no,low_moderate,official_fact_sheet,0.35,nih_ods_thiamin_hp,"Tiamina participa en metabolismo energético; se muestra como apoyo nutricional blando, no como ergogénico directo."
2026-06-24.1,RENDIMIENTO_DEPORTIVO,Niacina,contextual,energy_metabolism_context,supportive,no,moderate,official_fact_sheet,0.40,nih_ods_niacin_hp,Niacina participa en metabolismo energético; mantener cautela por dosis altas y perfil hepático.
2026-06-24.1,RENDIMIENTO_DEPORTIVO,Acido pantotenico,contextual,energy_metabolism_context,supportive,no,low_moderate,official_fact_sheet,0.38,nih_ods_pantothenic_hp,Ácido pantoténico se muestra como contexto de complejo B/metabolismo energético cuando el catálogo lo trazó.
2026-06-24.1,RIESGO_SALUD_OSEA,Manganeso,contextual,bone_matrix_context,supportive,optional,moderate,official_fact_sheet,0.35,nih_ods_manganese_hp,Manganeso participa en formación ósea; se mantiene como apoyo secundario y no reemplaza calcio/vitamina D.
2026-06-24.2,SALUD_VISUAL,Luteina,contextual,eye_carotenoid_context,supportive,no,low_moderate,official_fact_sheet,0.28,nih_ods_vitamin_a_hp,Luteína se usa como contexto de carotenoides/visión; no trata enfermedad ocular.
2026-06-24.2,SALUD_VISUAL,Zeaxantina,contextual,eye_carotenoid_context,supportive,no,low_moderate,official_fact_sheet,0.30,nih_ods_vitamin_a_hp,Zeaxantina se muestra junto a luteína como contexto visual y dietario.
2026-06-24.2,SALUD_VISUAL,Vitamina A,contextual,vision_nutrient_context,supportive_with_lab,optional,moderate_high,official_fact_sheet,0.35,nih_ods_vitamin_a_hp,Vitamina A participa en visión; evitar dosis altas o duplicación por safety.
2026-06-24.2,SALUD_DIGESTIVA,Probióticos,contextual,digestive_microbiome_context,supportive,no,moderate,official_fact_sheet,0.30,nih_ods_probiotics_hp,Probióticos dependen de cepa y población; se muestran como apoyo digestivo contextual.
2026-06-24.2,SALUD_DIGESTIVA,Bacillus coagulans,contextual,probiotic_strain_context,supportive,no,moderate,official_fact_sheet,0.35,nih_ods_probiotics_hp,Cepa probiótica trazable en catálogo; no generalizar efecto entre productos.
2026-06-24.2,SALUD_DIGESTIVA,Bifidobacterium longum,contextual,probiotic_strain_context,supportive,no,moderate,official_fact_sheet,0.35,nih_ods_probiotics_hp,Cepa probiótica trazable en catálogo; usar como contexto educativo.
2026-06-24.2,FATIGA_NUTRICIONAL,Tiamina,contextual,energy_metabolism_context,supportive,no,low_moderate,official_fact_sheet,0.32,nih_ods_thiamin_hp,Tiamina participa en metabolismo energético; apoyo contextual cuando hay fatiga y brecha dietaria.
2026-06-24.2,FATIGA_NUTRICIONAL,Riboflavina,contextual,energy_metabolism_context,supportive,no,low_moderate,official_fact_sheet,0.32,nih_ods_riboflavin_hp,Riboflavina se usa como contexto de complejo B ante fatiga nutricional probable.
2026-06-24.2,FATIGA_NUTRICIONAL,Niacina,contextual,energy_metabolism_context,supportive,no,moderate,official_fact_sheet,0.38,nih_ods_niacin_hp,Niacina se mantiene como contexto de energía; no usar dosis altas ni objetivos lipídicos desde la app.
2026-06-24.2,FATIGA_NUTRICIONAL,Colina,contextual,nervous_system_context,supportive,no,low_moderate,official_fact_sheet,0.38,nih_ods_choline_hp,"Colina se muestra como contexto dietario de función nerviosa/metabolismo, no como tratamiento de fatiga."
2026-06-24.2,HIDRATACION_ELECTROLITOS,Magnesio,contextual,electrolyte_muscle_context,supportive,no,moderate,official_fact_sheet,0.28,nih_ods_magnesium_consumer,Magnesio se usa como contexto de calambres/actividad; cautela renal.
2026-06-24.2,HIDRATACION_ELECTROLITOS,Potasio,contextual,electrolyte_safety_context,supportive_with_lab,preferred,high,official_fact_sheet,0.48,nih_ods_potassium_hp,Potasio es sensible a riñón y medicación; no empujar compra directa sin contexto seguro.
2026-06-24.2,HIDRATACION_ELECTROLITOS,Sodio,contextual,electrolyte_context,supportive_with_lab,optional,moderate_high,official_fact_sheet,0.45,nih_ods_potassium_hp,Sodio se muestra solo como contexto de electrolitos; no recomendar aumento de sal sin evaluación.
2026-06-24.2,SALUD_CARDIOVASCULAR_CONTEXTUAL,Omega 3,contextual,cardiovascular_diet_context,supportive_with_lab,preferred,moderate,official_fact_sheet,0.35,nih_ods_omega3_hp,Omega 3 aparece como contexto cardiovascular si hay baja ingesta o lípidos; no reemplaza manejo médico.
2026-06-24.2,SALUD_CARDIOVASCULAR_CONTEXTUAL,Coenzima Q10,contextual,cardiometabolic_context,supportive_with_lab,preferred,moderate,official_health_resource,0.42,nccih_coq10,CoQ10 se mantiene como contexto cardiometabólico con cautela por anticoagulantes.
2026-06-24.2,SALUD_CARDIOVASCULAR_CONTEXTUAL,Magnesio,contextual,cardiometabolic_context,supportive_with_lab,optional,moderate,official_fact_sheet,0.40,nih_ods_magnesium_consumer,Magnesio puede aparecer como contexto cardiovascular/electrolítico; no desplaza laboratorio ni tratamiento.
2026-06-24.2,SALUD_COGNITIVA,Colina,contextual,cognitive_nutrient_context,supportive,no,low_moderate,official_fact_sheet,0.32,nih_ods_choline_hp,Colina se usa como contexto de función nerviosa y dieta; no diagnostica deterioro cognitivo.
2026-06-24.2,SALUD_COGNITIVA,DHA,contextual,omega3_cognitive_context,supportive,no,low_moderate,official_fact_sheet,0.34,nih_ods_omega3_hp,DHA se muestra como contexto nutricional si hay baja ingesta de omega 3.
2026-06-24.2,SALUD_COGNITIVA,Inositol,contextual,nervous_system_context,supportive,no,low_moderate,official_health_resource,0.42,nih_medlineplus_supplements,Inositol se deja como apoyo contextual blando; no reemplaza sueño ni evaluación profesional.
