version,component,profile_role,adult_upper_limit,upper_limit_unit,upper_limit_note,dose_guidance,age_sex_note,pregnancy_lactation_note,contraindications,interaction_notes,safety_level,source_ids,rationale
2026-06-18.1,Selenio,expanded,400,mcg/day,UL adulto de referencia; exceso puede causar toxicidad.,No usar como recomendación principal salvo evidencia clara.,Requerimientos varían por edad/sexo.,Validar en embarazo/lactancia.,,Riesgo por exceso si se combinan multivitamínicos.,moderate,nih_ods_selenium_hp,Perfil de selenio como apoyo contextual.
2026-06-18.1,Vitamina K,expanded,,,"No se establece UL, pero es sensible en anticoagulantes.",Mantener ingesta consistente si usa warfarina; no empujar comercialmente sin revisión.,Requerimientos varían por edad/sexo.,Validar en embarazo/lactancia.,anticoagulantes,Interacción crítica con warfarina/anticoagulantes cumarínicos.,high,nih_ods_vitamin_k_hp,Perfil de vitamina K.
2026-06-18.1,Biotina,expanded,,,"No se establece UL, pero puede interferir con pruebas de laboratorio.",No presentarla como solución garantizada para cabello/piel/uñas.,Requerimientos varían por edad/sexo.,Validar en embarazo/lactancia.,,"Puede interferir con resultados de laboratorio, incluyendo pruebas hormonales/cardiacas.",moderate,nih_ods_biotin_hp,Perfil de biotina con evidencia limitada para cabello/piel/uñas.
2026-06-18.1,Melatonina,expanded,,,No establecer UL; usar con cautela por variabilidad de productos y contexto.,Solo apoyo contextual de sueño; no solución de insomnio crónico.,Uso pediátrico o adultos mayores requiere más cautela.,Falta evidencia suficiente de seguridad en embarazo/lactancia.,embarazo_lactancia|menor_edad,Puede causar somnolencia e interactuar con medicamentos; validar con profesional.,moderate,nccih_melatonin_sleep,Perfil de melatonina.
2026-06-18.1,Yodo,expanded,1100,mcg/day,UL adulto de referencia; exceso puede alterar función tiroidea.,No recomendar comercialmente ante problema tiroideo sin evaluación.,Requerimientos varían por edad/sexo y embarazo.,Embarazo/lactancia requiere control profesional.,problema_tiroideo,Interacción con enfermedad/medicación tiroidea.,high,nih_ods_iodine_hp,Perfil de yodo para safety tiroidea.
2026-06-18.2,Vitamina A,expanded,3000,mcg RAE/day,UL adulto para vitamina A preformada; exceso es relevante.,No entregar dosis prescriptiva; revisar si el producto usa retinol o carotenoides.,Requerimientos varían por edad y sexo.,Cautela alta en embarazo por exceso de vitamina A preformada.,embarazo|enfermedad_hepatica,Evitar duplicación con multivitamínicos y retinoides sin revisión profesional.,high,nih_ods_vitamin_a_hp,Perfil para contexto piel/visión y safety hepática.
2026-06-18.2,Vitamina E,expanded,1000,mg/day,UL adulto de alfa-tocoferol.,No priorizar dosis altas; revisar anticoagulantes.,Requerimientos dependen de edad.,Validar con profesional si embarazo/lactancia.,anticoagulantes|trastornos_sangrado,Puede aumentar cautela con anticoagulantes/antiagregantes.,moderate,nih_ods_vitamin_e_hp,Perfil de seguridad para antioxidante liposoluble.
2026-06-18.2,Cromo,expanded,,,ODS indica que no hay UL establecido por datos insuficientes.,No recomendar como tratamiento metabólico; solo contexto si hay labs.,Ingestas adecuadas varían por edad y sexo.,Validar con profesional si embarazo/lactancia.,diabetes_medicada|enfermedad_renal|enfermedad_hepatica,Cautela si usa fármacos para glucosa.,moderate,nih_ods_chromium_hp,Perfil para riesgo metabólico con evidencia contextual.
2026-06-18.2,Cobre,expanded,10,mg/day,UL adulto de referencia.,No usar sin sospecha de baja ingesta o balance mineral.,Requerimientos varían por edad.,Validar con profesional si embarazo/lactancia.,enfermedad_hepatica|wilson,Balance relevante con zinc.,moderate,nih_ods_copper_hp,Perfil para balance zinc-cobre y señales de cabello/piel.
2026-06-18.2,Potasio,expanded,,,No se usa como recomendación comercial general en perfiles críticos.,No sugerir suplementación sin revisión profesional si hay enfermedad renal o fármacos relevantes.,Ingesta adecuada varía por edad y sexo.,Validar con profesional si embarazo/lactancia.,enfermedad_renal|hiperpotasemia|ieca_ara2_espironolactona,Alta cautela con enfermedad renal y fármacos que elevan potasio.,high,nih_ods_potassium_hp,Perfil usado principalmente como alerta renal/electrolítica.
2026-06-18.2,Colina,expanded,3500,mg/day,UL adulto de referencia.,"Usar como contexto dietario, no como tratamiento.",AI varía por sexo y etapa.,Relevante en embarazo/lactancia pero requiere guía profesional.,,Evitar duplicación de dosis altas.,moderate,nih_ods_choline_hp,Perfil para soporte dietario y etapa de vida.
2026-06-18.2,Probióticos,expanded,,,No hay UL general; efecto depende de cepa y población.,No generalizar beneficios entre cepas; revisar etiqueta y condición del usuario.,Cautela en inmunocomprometidos o enfermedad grave.,Validar con profesional si embarazo/lactancia.,inmunosupresion|enfermedad_grave,Cautela en usuarios inmunocomprometidos.,moderate,nih_ods_probiotics_hp,Perfil para apoyo digestivo/inmune contextual.
2026-06-18.2,Colágeno,expanded,,,Sin UL oficial específico en esta base.,"Mostrar como apoyo estético/nutricional, no como tratamiento.",Depende de objetivos nutricionales y tolerancia.,Validar con profesional si embarazo/lactancia.,alergia_pescado|alergia_mariscos,Revisar origen marino/bovino y alérgenos.,low,nih_medlineplus_supplements,Perfil para productos frecuentes del catálogo.
2026-06-18.2,Coenzima Q10,expanded,,,Sin UL oficial específico en esta base.,Mantener como contexto cardiometabólico; no sustituye tratamiento.,Mayor uso contextual en adultos.,Validar con profesional si embarazo/lactancia.,anticoagulantes,Cautela con warfarina/anticoagulantes.,moderate,nccih_coq10,Perfil para dislipidemia/contexto cardiovascular.
2026-06-18.2,Ashwagandha,expanded,,,Sin UL oficial específico en esta base.,No usar en perfiles sensibles sin revisión profesional.,No priorizar en menores.,Evitar en embarazo/lactancia salvo criterio profesional.,embarazo|lactancia|enfermedad_hepatica|tiroides|sedantes,"Cautela con sedantes, tiroides e hígado.",high,nccih_ashwagandha,Perfil para estrés/sueño con safety fuerte.
2026-06-18.2,Valeriana,expanded,,,Sin UL oficial específico en esta base.,No combinar con sedantes/alcohol sin revisión profesional.,No priorizar en menores.,Evitar en embarazo/lactancia salvo criterio profesional.,embarazo|lactancia|sedantes|alcohol,Puede aumentar sedación.,moderate,nccih_valerian,Perfil para sueño contextual.
2026-06-18.2,L-teanina,expanded,,,Sin UL oficial específico en esta base.,Mostrar solo como apoyo contextual de estrés.,Evitar recomendaciones agresivas en menores.,Validar con profesional si embarazo/lactancia.,sedantes,Cautela con sedantes o hipotensores.,low,nih_medlineplus_supplements,Perfil contextual para estrés.
2026-06-18.2,Vitamina B6,expanded,100,mg/day,UL adulto de referencia usado por ODS.,Evitar dosis altas crónicas sin criterio profesional.,Requerimientos varían por edad.,Validar con profesional si embarazo/lactancia.,neuropatia,Dosis altas sostenidas pueden ser problemáticas.,moderate,nih_ods_b6_hp,Perfil para complejo B y cofactores.
2026-06-18.2,Riboflavina,expanded,,,No hay UL establecido por baja toxicidad reportada.,Mantener como contexto de complejo B.,Requerimientos varían por edad y sexo.,Validar con profesional si embarazo/lactancia.,,Evitar duplicación innecesaria de complejos B.,low,nih_ods_riboflavin_hp,Perfil para energía/metabolismo contextual.
2026-06-18.2,Tiamina,expanded,,,No hay UL establecido.,Mantener como contexto de complejo B.,Requerimientos varían por edad y sexo.,Validar con profesional si embarazo/lactancia.,,Evitar duplicación innecesaria.,low,nih_ods_thiamin_hp,Perfil para complejo B.
2026-06-18.2,Niacina,expanded,35,mg/day,UL adulto para evitar efectos adversos de suplementos.,No usar para lípidos como recomendación de app; requiere médico.,Requerimientos varían por edad y sexo.,Validar con profesional si embarazo/lactancia.,enfermedad_hepatica|ulcera|diabetes_medicada,Dosis farmacológicas pueden afectar hígado/glucosa; no recomendar como tratamiento.,high,nih_ods_niacin_hp,Perfil principalmente para safety hepática y evitar mal uso.
2026-06-18.2,Ácido pantoténico,expanded,,,No hay UL establecido.,Mantener como contexto de complejo B.,AI varía por edad.,Validar con profesional si embarazo/lactancia.,,Evitar duplicación innecesaria.,low,nih_ods_pantothenic_hp,Perfil para complejo B.
2026-06-18.2,Carnitina,expanded,,,Sin UL oficial específico en esta base.,"Mostrar solo como contexto de rendimiento, sin prometer efecto.",Depende de dieta y objetivo.,Validar con profesional si embarazo/lactancia.,convulsiones|enfermedad_renal,Cautela en antecedentes de convulsiones o enfermedad renal.,moderate,nih_medlineplus_supplements,Perfil para rendimiento contextual.
2026-06-18.2,Cafeína,expanded,400,mg/day,Límite práctico adulto usado como referencia general de seguridad.,"Evitar si ansiedad, insomnio, hipertensión no controlada o embarazo sin guía.",No priorizar en menores.,Embarazo/lactancia requiere límites más conservadores y revisión.,ansiedad|insomnio|hipertension|arritmia|embarazo,"Puede empeorar sueño, ansiedad y palpitaciones.",moderate,fda_dietary_supplements,Perfil para rendimiento con cautela.
2026-06-18.2,Té verde,expanded,,,Extractos concentrados no se tratan como té alimentario.,No priorizar en bandera hepática; revisar concentración.,No priorizar en menores.,Validar con profesional si embarazo/lactancia.,enfermedad_hepatica|anticoagulantes,Cautela con extractos concentrados y hepatopatía.,high,nih_medlineplus_supplements,Perfil de alerta para extractos herbales.
2026-06-18.2,EPA,expanded,,,Interpretar como subcomponente de omega 3.,No entregar dosis prescriptiva; revisar suma EPA/DHA y anticoagulantes.,Depende de dieta de pescado y objetivo.,Validar fuente/calidad en embarazo/lactancia.,anticoagulantes|alergia_pescado|alergia_mariscos,Cautela con anticoagulantes y cirugía.,moderate,nih_ods_omega3_hp,Perfil para subcomponentes omega 3.
2026-06-18.2,DHA,expanded,,,Interpretar como subcomponente de omega 3.,No entregar dosis prescriptiva; revisar suma EPA/DHA y fuente.,Depende de dieta de pescado y etapa de vida.,Validar fuente/calidad en embarazo/lactancia.,anticoagulantes|alergia_pescado|alergia_mariscos,Cautela con anticoagulantes y cirugía.,moderate,nih_ods_omega3_hp,Perfil para subcomponentes omega 3.
2026-06-18.3,Creatina,expanded,,,Sin UL oficial específico en esta base; revisar etiqueta y contexto de uso.,No entregar dosis prescriptiva; mostrar solo como apoyo deportivo contextual en adultos.,No priorizar en menores de edad.,No sugerir en embarazo/lactancia sin revisión profesional.,enfermedad_renal|embarazo|lactancia|menor_edad,Bloquear productos si hay señal renal o perfil crítico.,moderate,nih_ods_exercise_performance_hp,Perfil agregado tras corregir mapeo de catálogo para creatina monohidrato.
2026-06-24.2,Luteina,expanded,,,Sin UL oficial específico en esta base.,Mostrar como contexto visual/dietario; priorizar dieta rica en carotenoides.,Relevancia aumenta con edad y baja ingesta vegetal.,Validar en embarazo/lactancia.,,Evitar prometer prevención o tratamiento ocular.,low,nih_ods_vitamin_a_hp,Perfil contextual para salud visual.
2026-06-24.2,Zeaxantina,expanded,,,Sin UL oficial específico en esta base.,Mostrar junto a luteína como contexto visual/dietario.,Relevancia aumenta con edad y baja ingesta vegetal.,Validar en embarazo/lactancia.,,Evitar prometer prevención o tratamiento ocular.,low,nih_ods_vitamin_a_hp,Perfil contextual para salud visual.
2026-06-24.2,Sodio,expanded,,,No usar como suplemento comercial general.,Solo contexto de electrolitos; evitar recomendar aumento de sal.,Sensible en hipertensión y riesgo cardiovascular.,Validar en embarazo/lactancia.,hipertension|enfermedad_renal|insuficiencia_cardiaca,Puede empeorar presión o retención de líquidos en perfiles sensibles.,high,nih_ods_potassium_hp,Perfil de seguridad para electrolitos.
2026-06-24.2,Taurina,expanded,,,Sin UL oficial específico en esta base.,Mostrar solo como contexto nutricional blando.,No priorizar en menores.,Validar en embarazo/lactancia.,,Evitar prometer efecto cognitivo o energético.,low,nih_medlineplus_supplements,Perfil contextual para salud cognitiva/energía.
2026-06-24.2,Inositol,expanded,,,Sin UL oficial específico en esta base.,Mostrar solo como contexto nutricional blando.,No priorizar en menores.,Validar en embarazo/lactancia.,,Evitar prometer efecto cognitivo o de ánimo.,low,nih_medlineplus_supplements,Perfil contextual para salud cognitiva.
2026-06-24.2,Bacillus coagulans,expanded,,,No hay UL general para probióticos; efecto depende de cepa.,Mostrar solo si el producto declara cepa o especie trazable.,Cautela en inmunocomprometidos o enfermedad grave.,Validar en embarazo/lactancia.,inmunosupresion|enfermedad_grave,Cepas probióticas no son intercambiables.,moderate,nih_ods_probiotics_hp,Perfil de cepa probiótica trazable.
2026-06-24.2,Bifidobacterium longum,expanded,,,No hay UL general para probióticos; efecto depende de cepa.,Mostrar solo si el producto declara cepa o especie trazable.,Cautela en inmunocomprometidos o enfermedad grave.,Validar en embarazo/lactancia.,inmunosupresion|enfermedad_grave,Cepas probióticas no son intercambiables.,moderate,nih_ods_probiotics_hp,Perfil de cepa probiótica trazable.
