version,component,claim_code,claim,evidence_level,claim_type,source_ids,display_note
2026-06-18.2,Cromo,glucose_context,Se relaciona con metabolismo de macronutrientes y glucosa.,contextual,risk_context,nih_ods_chromium_hp,No se muestra como tratamiento de diabetes.
2026-06-18.2,Cobre,mineral_balance,Participa en metabolismo del hierro y tejido conectivo.,official_nutrient_role,structure_function,nih_ods_copper_hp,Revisar balance con zinc y cautela hepática.
2026-06-18.2,Potasio,electrolyte_context,Electrolito clave para función muscular y nerviosa.,official_nutrient_role,safety_context,nih_ods_potassium_hp,No usar como suplemento comercial si hay riesgo renal.
2026-06-18.2,Probióticos,strain_specific,"Algunos efectos dependen de cepa, dosis y población.",contextual,education,nih_ods_probiotics_hp,No generalizar beneficios entre productos.
2026-06-18.2,Colágeno,skin_structure_context,Se usa como apoyo nutricional estructural en productos comerciales.,contextual,commercial_context,nih_medlineplus_supplements,No reemplaza evaluación dermatológica ni dieta proteica.
2026-06-18.2,Coenzima Q10,energy_cardiometabolic_context,Se usa como contexto energético/cardiometabólico.,contextual,risk_context,nccih_coq10,Cautela con anticoagulantes; no reemplaza tratamiento cardiovascular.
2026-06-18.2,Ashwagandha,stress_context,Se usa como apoyo contextual de estrés.,contextual,wellness_context,nccih_ashwagandha,No usar en embarazo/hepatopatía/tiroides sin guía profesional.
2026-06-18.2,Valeriana,sleep_context,Se usa como apoyo contextual del sueño.,contextual,wellness_context,nccih_valerian,Puede causar sedación e interactuar con sedantes.
2026-06-18.2,L-teanina,relaxation_context,Se usa como señal contextual de relajación.,limited_contextual,wellness_context,nih_medlineplus_supplements,Evidencia blanda; no priorizar sin señales claras.
2026-06-18.2,Vitamina B6,metabolism_context,Participa en metabolismo de proteínas y función nerviosa.,official_nutrient_role,structure_function,nih_ods_b6_hp,Evitar dosis altas crónicas.
2026-06-18.2,Riboflavina,energy_metabolism,Participa en producción de energía y función celular.,official_nutrient_role,structure_function,nih_ods_riboflavin_hp,Contexto de complejo B.
2026-06-18.2,Tiamina,energy_metabolism,Participa en metabolismo energético.,official_nutrient_role,structure_function,nih_ods_thiamin_hp,Contexto de complejo B.
2026-06-18.2,Niacina,energy_lipid_safety,Participa en metabolismo energético; dosis altas son médicas.,official_nutrient_role,safety_context,nih_ods_niacin_hp,No usar para lípidos desde la app.
2026-06-18.2,Ácido pantoténico,coenzyme_context,Forma parte de coenzima A y metabolismo energético.,official_nutrient_role,structure_function,nih_ods_pantothenic_hp,Contexto de complejo B.
2026-06-18.2,Carnitina,performance_context,Se usa como apoyo contextual de rendimiento.,limited_contextual,wellness_context,nih_medlineplus_supplements,No prometer mejora de rendimiento.
2026-06-18.2,Cafeína,alertness_context,Puede aumentar alerta a corto plazo.,contextual,performance_context,fda_dietary_supplements,"Cautela con sueño, ansiedad, presión y embarazo."
2026-06-18.2,Té verde,herbal_extract_safety,Extractos concentrados requieren cautela.,safety_context,safety_context,nih_medlineplus_supplements,No priorizar si hay bandera hepática.
2026-06-18.2,EPA,omega3_subcomponent,Subcomponente de omega 3 de cadena larga.,official_nutrient_context,component_context,nih_ods_omega3_hp,Revisar suma EPA/DHA y anticoagulantes.
2026-06-18.2,DHA,omega3_subcomponent,Subcomponente de omega 3 de cadena larga.,official_nutrient_context,component_context,nih_ods_omega3_hp,Revisar fuente marina/alérgenos.
2026-06-18.3,Creatina,performance_context,Se usa como apoyo contextual para rendimiento de alta intensidad en adultos.,official_contextual,performance_context,nih_ods_exercise_performance_hp,No es recomendación médica ni dosis personalizada; bloquear si hay señal renal.
2026-06-19.1,Vitamina C,iron_absorption_support,Puede apoyar la absorción de hierro no hemo.,moderate,supportive_context,nih_ods_vitamin_c_hp|nih_ods_iron_hp,Mostrar como soporte secundario cuando hierro sea el componente principal.
2026-06-19.1,Vitamina B12,folate_b12_context,Se revisa junto a folato cuando hay señales hematológicas o dietarias mixtas.,moderate,safety_context,nih_ods_vitamin_b12_hp|nih_ods_folate_hp,Evitar interpretar folato aislado si B12 puede estar bajo.
2026-06-19.1,Acido folico,b12_masking_context,El ácido fólico sintético puede ocultar señales hematológicas de B12 baja.,moderate,safety_context,nih_ods_folate_hp|nih_ods_vitamin_b12_hp,No priorizar folato si el caso principal es B12 probable sin revisión.
2026-06-19.1,Vitamina K,bone_anticoagulant_context,Puede aparecer como soporte óseo contextual pero es sensible a anticoagulantes.,moderate,safety_context,nih_ods_vitamin_k_hp,Mostrar badge de cautela si hay anticoagulantes.
2026-06-19.1,Vitamina E,lipid_antioxidant_context,Se usa como contexto lipídico/antioxidante con cautela por dosis e interacciones.,contextual,safety_context,nih_ods_vitamin_e_hp,No priorizar como componente comercial principal por lípidos.
2026-06-19.1,Selenio,immune_thyroid_context,Participa en función inmune y tiroidea como contexto nutricional.,contextual,wellness_context,nih_ods_selenium_hp,No comercializar desde una bandera tiroidea aislada.
2026-06-19.1,Probióticos,gut_immune_context,Los efectos son cepa-específicos y dependen del producto.,contextual,education,nih_ods_probiotics_hp,Mostrar trazabilidad de cepa si el catálogo la tiene.
2026-06-19.1,Hierro,hair_skin_lab_context,Puede ser relevante en señales de cabello/uñas solo si hay sospecha nutricional o laboratorio.,contextual,safety_context,nih_ods_iron_hp,No recomendar agresivamente sin datos de hierro/ferritina.
2026-06-19.1,Calcio,renal_bone_safety_context,Es componente central de salud ósea pero sensible a riesgo renal/hipercalcemia.,high,safety_context,nih_ods_calcium_hp|medlineplus_creatinine_test,Bloquear o advertir productos si el perfil marca enfermedad renal.
2026-06-19.1,Yodo,thyroid_safety_context,Es nutriente ligado a función tiroidea y requiere cautela en perfiles tiroideos.,high,safety_context,nih_ods_iodine_hp|medlineplus_thyroid_tests,No sugerir producto comercial por bandera tiroidea.
2026-06-19.1,Ashwagandha,stress_thyroid_liver_context,"Se usa como contexto de estrés pero requiere cautela en tiroides, hígado y embarazo.",contextual,safety_context,nccih_ashwagandha,Mostrar como bienestar no comercial y bloquear en perfiles críticos.
2026-06-24.2,Luteina,visual_carotenoid_context,Carotenoide usado como contexto nutricional de salud visual.,contextual,wellness_context,nih_ods_vitamin_a_hp,No prometer prevención o tratamiento ocular.
2026-06-24.2,Zeaxantina,visual_carotenoid_context,Carotenoide usado junto a luteína en contexto visual.,contextual,wellness_context,nih_ods_vitamin_a_hp,Mostrar como apoyo dietario visual.
2026-06-24.2,Colina,nervous_system_context,Nutriente relacionado con función nerviosa y membranas celulares.,official_nutrient_role,structure_function,nih_ods_choline_hp,Contexto cognitivo/dietario; no tratamiento.
2026-06-24.2,Sodio,electrolyte_safety_context,Electrolito sensible a presión arterial y función renal.,safety_context,safety_context,nih_ods_potassium_hp,No sugerir aumento de sal sin evaluación.
2026-06-24.2,Taurina,nutritional_context,Se muestra como contexto nutricional blando.,limited_contextual,wellness_context,nih_medlineplus_supplements,No prometer energía o cognición.
2026-06-24.2,Inositol,nutritional_context,Se muestra como contexto nutricional blando.,limited_contextual,wellness_context,nih_medlineplus_supplements,No prometer ánimo o cognición.
2026-06-24.2,Bacillus coagulans,probiotic_strain_context,Cepa probiótica trazable; los efectos dependen del producto.,contextual,education,nih_ods_probiotics_hp,Mostrar cepa/especie cuando el catálogo la contiene.
2026-06-24.2,Bifidobacterium longum,probiotic_strain_context,Cepa probiótica trazable; los efectos dependen del producto.,contextual,education,nih_ods_probiotics_hp,Mostrar cepa/especie cuando el catálogo la contiene.
