condition_code,field,operator,value,weight
DEFICIT_FOLATO,sexo,eq,F,0.06
DEFICIT_FOLATO,legume_servings_week,lte,1,0.08
DEFICIT_ZINC,lab_zinc_status,eq,low,0.65
DEFICIT_ZINC,lab_zinc_status,eq,critical_low,0.85
DEFICIT_ZINC,benchmark_diet_zinc_status,eq,low,0.44
DEFICIT_ZINC,benchmark_diet_zinc_status,eq,critical_low,0.62
DEFICIT_ZINC,enfermedad_frecuente,gte,4,0.18
DEFICIT_ZINC,piel_seca,gte,4,0.10
DEFICIT_ZINC,dieta_deficiente,eq,1,0.14
DEFICIT_CALCIO,lab_calcium_status,eq,low,0.65
DEFICIT_CALCIO,lab_calcium_status,eq,critical_low,0.85
DEFICIT_CALCIO,benchmark_diet_calcium_status,eq,low,0.34
DEFICIT_CALCIO,benchmark_diet_calcium_status,eq,critical_low,0.52
DEFICIT_CALCIO,edad,gte,50,0.16
DEFICIT_CALCIO,meta_salud_osea,eq,1,0.16
DEFICIT_CALCIO,tipo_dieta,in,vegano|vegetariano,0.10
DEFICIT_CALCIO,dairy_servings_day,lte,1,0.12
RIESGO_VITAMINA_C_BAJA,dieta_deficiente,eq,1,0.28
RIESGO_VITAMINA_C_BAJA,fruit_veg_servings_day,lte,2,0.22
RIESGO_VITAMINA_C_BAJA,vitamin_c_diet_signal,eq,1,0.20
RIESGO_VITAMINA_C_BAJA,benchmark_lab_vitamin_c_status,eq,low,0.65
RIESGO_VITAMINA_C_BAJA,benchmark_lab_vitamin_c_status,eq,critical_low,0.85
RIESGO_VITAMINA_C_BAJA,benchmark_diet_vitamin_c_status,eq,low,0.42
RIESGO_VITAMINA_C_BAJA,benchmark_diet_vitamin_c_status,eq,critical_low,0.60
RIESGO_VITAMINA_C_BAJA,enfermedad_frecuente,gte,4,0.16
RIESGO_VITAMINA_C_BAJA,piel_seca,gte,4,0.10
RIESGO_VITAMINA_C_BAJA,fatiga_general,gte,4,0.08
RIESGO_VITAMINA_C_BAJA,meta_inmunidad,eq,1,0.10
RIESGO_OMEGA3_BAJO,tipo_dieta,in,vegano|vegetariano,0.32
RIESGO_OMEGA3_BAJO,dieta_deficiente,eq,1,0.16
RIESGO_OMEGA3_BAJO,fish_servings_week,lte,1,0.25
RIESGO_OMEGA3_BAJO,benchmark_diet_omega3_status,eq,low,0.52
RIESGO_OMEGA3_BAJO,benchmark_diet_omega3_status,eq,critical_low,0.72
RIESGO_OMEGA3_BAJO,meta_cognitivo,eq,1,0.10
RIESGO_OMEGA3_BAJO,irritabilidad,gte,4,0.08
RIESGO_OMEGA3_BAJO,piel_seca,gte,4,0.08
RIESGO_PROTEINA_INSUFICIENTE,dieta_deficiente,eq,1,0.22
RIESGO_PROTEINA_INSUFICIENTE,nivel_actividad,in,activo|muy_activo,0.14
RIESGO_PROTEINA_INSUFICIENTE,meta_rendimiento,eq,1,0.16
RIESGO_PROTEINA_INSUFICIENTE,protein_g_day_estimate,lt,55,0.30
RIESGO_PROTEINA_INSUFICIENTE,protein_insufficient_signal,eq,1,0.28
RIESGO_PROTEINA_INSUFICIENTE,protein_gap_g_day,gte,20,0.22
RIESGO_PROTEINA_INSUFICIENTE,benchmark_diet_protein_status,eq,low,0.36
RIESGO_PROTEINA_INSUFICIENTE,benchmark_diet_protein_status,eq,critical_low,0.54
RIESGO_PROTEINA_INSUFICIENTE,fatiga_general,gte,4,0.10
RIESGO_PROTEINA_INSUFICIENTE,dolor_muscular,gte,4,0.08
RIESGO_CABELLO_PIEL_UNAS,meta_belleza,eq,1,0.20
RIESGO_CABELLO_PIEL_UNAS,caida_cabello,gte,4,0.24
RIESGO_CABELLO_PIEL_UNAS,piel_seca,gte,4,0.14
RIESGO_CABELLO_PIEL_UNAS,unas_quebradizas,gte,4,0.16
RIESGO_CABELLO_PIEL_UNAS,hair_skin_nails_cluster,gte,3,0.26
RIESGO_CABELLO_PIEL_UNAS,lab_zinc_status,eq,low,0.25
RIESGO_CABELLO_PIEL_UNAS,lab_ferritin_status,eq,low,0.20
RIESGO_METABOLICO_GLUCOSA,lab_glucose_status,eq,high,0.65
RIESGO_METABOLICO_GLUCOSA,lab_glucose_status,eq,critical_high,0.85
RIESGO_METABOLICO_GLUCOSA,bmi,gte,30,0.14
RIESGO_METABOLICO_GLUCOSA,edad,gte,50,0.10
RIESGO_DISLIPIDEMIA,lab_total_cholesterol_status,eq,high,0.62
RIESGO_DISLIPIDEMIA,lab_total_cholesterol_status,eq,critical_high,0.82
RIESGO_DISLIPIDEMIA,lab_ldl_status,eq,high,0.68
RIESGO_DISLIPIDEMIA,lab_ldl_status,eq,critical_high,0.88
RIESGO_DISLIPIDEMIA,lab_hdl_status,eq,low,0.62
RIESGO_DISLIPIDEMIA,lab_hdl_status,eq,critical_low,0.82
RIESGO_DISLIPIDEMIA,lab_triglycerides_status,eq,high,0.62
RIESGO_DISLIPIDEMIA,lab_triglycerides_status,eq,critical_high,0.82
RIESGO_DISLIPIDEMIA,bmi,gte,30,0.12
SAFETY_RENAL,lab_creatinine_status,eq,high,0.65
SAFETY_RENAL,lab_creatinine_status,eq,critical_high,0.90
SAFETY_RENAL,lab_egfr_status,eq,low,0.70
SAFETY_RENAL,lab_egfr_status,eq,critical_low,0.90
SAFETY_HEPATICA,lab_alt_status,eq,high,0.60
SAFETY_HEPATICA,lab_alt_status,eq,critical_high,0.90
SAFETY_HEPATICA,lab_ast_status,eq,high,0.60
SAFETY_HEPATICA,lab_ast_status,eq,critical_high,0.90
SAFETY_TIROIDEA,lab_tsh_status,eq,low,0.65
SAFETY_TIROIDEA,lab_tsh_status,eq,high,0.65
SAFETY_TIROIDEA,lab_tsh_status,eq,critical_low,0.90
SAFETY_TIROIDEA,lab_tsh_status,eq,critical_high,0.90
SALUD_VISUAL,fruit_veg_servings_day,lte,2,0.24
SALUD_VISUAL,dieta_deficiente,eq,1,0.18
SALUD_VISUAL,meta_cognitivo,eq,1,0.14
SALUD_VISUAL,edad,gte,50,0.12
SALUD_DIGESTIVA,dieta_deficiente,eq,1,0.28
SALUD_DIGESTIVA,fruit_veg_servings_day,lte,2,0.18
SALUD_DIGESTIVA,estres_alto,eq,1,0.12
SALUD_DIGESTIVA,fatiga_general,gte,4,0.08
FATIGA_NUTRICIONAL,fatiga_general,gte,4,0.24
FATIGA_NUTRICIONAL,dieta_deficiente,eq,1,0.22
FATIGA_NUTRICIONAL,protein_insufficient_signal,eq,1,0.18
FATIGA_NUTRICIONAL,meta_energia,eq,1,0.16
FATIGA_NUTRICIONAL,niebla_mental,gte,4,0.10
HIDRATACION_ELECTROLITOS,calambres,gte,4,0.24
HIDRATACION_ELECTROLITOS,nivel_actividad,in,activo|muy_activo,0.18
HIDRATACION_ELECTROLITOS,dolor_muscular,gte,4,0.12
HIDRATACION_ELECTROLITOS,meta_rendimiento,eq,1,0.12
SALUD_CARDIOVASCULAR_CONTEXTUAL,fish_servings_week,lte,1,0.24
SALUD_CARDIOVASCULAR_CONTEXTUAL,edad,gte,50,0.16
SALUD_CARDIOVASCULAR_CONTEXTUAL,bmi,gte,30,0.14
SALUD_CARDIOVASCULAR_CONTEXTUAL,dieta_deficiente,eq,1,0.10
SALUD_COGNITIVA,niebla_mental,gte,4,0.24
SALUD_COGNITIVA,problemas_sueno,gte,4,0.18
SALUD_COGNITIVA,meta_cognitivo,eq,1,0.18
SALUD_COGNITIVA,fish_servings_week,lte,1,0.10
